"U.S. AMERICAN 
LIFT-SERVED 
Telluride,U.S. - Colorado,"3,790",,,"2,000",280,Yes,,Independent,,"1,050",,,,Epic,Epic 7 | Day All 4+,Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,"$3,000",N/A,N/A,"$2,460","$2,650",N/A,No,
Vail Mountain    ,U.S. - Colorado,"3,450",,,"5,317",354,Yes,,Vail Resorts,1962,"4,014",,,,Epic,Epic U | Local 10SB | Tahoe L 5SB | Day All,Yes,No,Yes,No,Yes,Yes,,"$1,051","$1,051",NO,N/A,NO,$982,"$1,004",No,N/A,$909,"$1,025",No,Yes,Access details here
Winter Park,U.S. - Colorado,"3,060",,,"3,081",327,Yes,,Alterra ,2017,"1,358",,https://skimap.org/skiareas/view/503,,Ikon,Ikon/Base U | Session B,Yes,No,Yes,No,Yes,Yes,,$909,$909,$859,N/A,YES (4/7),$699,$749,N/A,N/A,$659,$809,N/A,Yes,Unlimited access also available on Ikon
Wolf Creek,U.S. - Colorado,"1,604",,,"1,600",430,Yes,,Independent,,800,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,"$1,331",N/A,N/A,"$1,043","$1,302",N/A,No,
CO,,,,,"45,582",,,,,,,,,,,,34,0,28,6,34,34,,,,,,,,,,,,,,13,
CONNECTICUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lakeridge,U.S. - Connecticut,163,,,,N/A,Yes,,Independent,,,,,,,,No,Yes,Yes,No,Yes,Yes,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,No,Private ski area for residents of Lakeridge 
Mohawk Mountain,U.S. - Connecticut,650,,,107,92,Yes,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2B",Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$699,$749,N/A,Yes,
Mount Southington,U.S. - Connecticut,425,,,51,80,Yes,,Independent,,,,,,Freedom,Freedom 3,Yes,No,Yes,No,Yes,Yes,,,,,,,$750,$750,N/A,OS-8/1,$650,$750,Yes,Yes,
Powder Ridge,U.S. - Connecticut,550,,,80,38,Yes,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,$382,$382,NO,5/1,NO,$520,$585,N/A,N/A,$520,$608,Yes,Yes,
Ski Sundown,U.S. - Connecticut,625,,,65,45,Yes,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,$650,$650,NO,4/30,NO,$650,$650,N/A,10/31,$650,$750,N/A,Yes,
CT,,,,,303,,,,,,,,,,,,4,1,5,0,5,5,,,,,,,,,,,,,,4,
IDAHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bald Mountain,U.S. - Idaho,684,,,140,100,No,,Independent,,,,,,,,Yes,No,No,Yes,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$300,$300,N/A,No,
Blizzard Mountain,U.S. - Idaho,710,,,,N/A,,,Independent,,,,,,,,N/A,N/A,N-N/A,Y-N/A,No,No,,NO PASS,NO PASS,NO PASS,NO PASS,,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,No,Not enough snow to operate in 23/24; should re-open for 24/25; track operations via Facebook page
Bogus Basin,U.S. - Idaho,"1,800",,,"2,600",250,,,Independent,,"2,600",,,,"Powder Alliance, Freedom","Powder Alliance 3, Freedom 3",Yes,No,Yes,No,Yes,Yes,,,$649,NO,N/A,NO,$479,$639,$619 (was $459),N/A,$609,N/A - last $719,N/A,No,View reciprocal partners here.
Brundage,U.S. - Idaho,"1,921",,,"1,920",320,,,Independent,,"1,300",,,,Indy,"Indy+ 2, Indy Base 2B",Yes,No,Yes,No,Yes,Yes,,$599,$599,NO,3/22,YES,$599,$899,$599 (ended),N/A,$559,$999,Yes,No,
Chipmunk Hills,U.S. - Idaho,301,,,30,N/A,,,Independent,,,,,,,,Yes,No,No,Yes,Yes,Yes,,NO PASS,NO PASS,NO PASS,NO PASS,,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,No,
Cottonwood Butte,U.S. - Idaho,845,,,260,45,No,,Independent,,,,,,,,Yes,No,No,Yes,Yes,Yes,,NO PASS,NO PASS,NO PASS,NO PASS,,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,No,"*No season passes - 5- or 10-day punch cards are $85 and $160, respectively; operations track via Facebook page"
Gateway Parks: Eagle Island,U.S. - Idaho,N/A,,,,N/A,,,Gateway,N/A,,,,,,,Yes,No,No,Yes,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A
Gateway Parks: Idaho Falls,U.S. - Idaho,N/A,,,,N/A,,,Gateway,N/A,,,,,,,Yes,No,No,Yes,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A
Kelly Canyon,U.S. - Idaho,"1,000",,,640,200,,,Independent,,740,,,,Indy,"Indy+ 2, Indy Base 2",Yes,No,Yes,No,Yes,Yes,,,,,,,$499,$715,N/A,10/31,$499,$859,Yes,No,
Little Ski Hill,U.S. - Idaho,405,,,50,180,No,,Independent,,,,,,,,Yes,No,No,Yes,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$127.50,$150.00,N/A,No,
Lookout Pass,U.S. - Idaho,"1,650",,,"1,023",400,,,Independent,,,,,https://liftblog.com/lookout-pass-id/,,,Yes,No,Yes,No,Yes,Yes,,$399,$399,$379,N/A,YES,$399,$499,$369 (ended),N/A,$399,$599,N/A,No,View reciprocal partners here.
Magic Mountain,U.S. - Idaho,740,,,120,230,No,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$350,$390,N/A,Yes,
Pebble Creek,U.S. - Idaho,"2,200",,,"1,100",225,,,Independent,,"1,100",,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,$499,$625,N/A,10/31,$455,$709,N/A,No,View reciprocal partners here.
Pomerelle,U.S. - Idaho,"1,000",,,500,500,,,Independent,,200,,,,Indy,"Indy+ 2, Indy Base 2",Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$449,$575,N/A,No,Indy add-on available
Rotarun,U.S. - Idaho,485,,,,100,,,Independent,,,,,,,,Yes,No,No,Yes,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$175,$175,N/A,Yes,
Schweitzer,U.S. - Idaho,"2,400",,,"2,900",300,,,Alterra ,2023,"2,300",,,,Ikon,Ikon U | Base 5B | Session B,Yes,No,Yes,No,Yes,Yes,,$989,$989,YES,N/A,,$949,$949,$909,5/31,$899,"$1,349",Yes,No,Unlimited access also included on Ikon. View reciprocal partners here.
Silver Mountain,U.S. - Idaho,"2,200",,,"1,600",340,,,CMR Lands,2016,,,,,"Indy, Powder Alliance","Indy+ 2, Indy Base 2, Powder Alliance 3B",Yes,No,Yes,No,Yes,Yes,,$509,$509,NO,5/15,YES,$499,$559,$479,9/15,$489,$849,N/A,Yes,Buy up to unlimited combo pass with 49 Degrees North
Snowhaven,U.S. - Idaho,400,,,40,60,No,,Independent,,40,,,,,,Yes,No,No,Yes,Yes,Yes,,NO PASS,NO PASS,NO PASS,NO PASS,,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,No,*No season passes - 10-day punch cards are $180. track operations via Facebook page
Soldier Mountain,U.S. - Idaho,"1,421","5,756","7,177","1,150",300,Yes,,Independent,,,,https://skimap.org/skiareas/view/485,https://liftblog.com/soldier-mountain-id/,Indy,"Indy+ 2, Indy Base 2",Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$499,$499,N/A,Yes,View reciprocal partners here
Sun Valley: Bald ,U.S. - Idaho,"3,400","5,750","9,150","2,533",200,Yes,,Holding Family,1977,"2,000",,,,"Ikon, Mountain Collective, Left Epic","Ikon 7S, MC 2S",Yes,No,Yes,No,Yes,Yes,,"$2,219","$2,219",NO,4/30,YES,"$2,104","$3,149",No,N/A,"$1,999","$2,999",Yes,Yes,"Unlimited access at Snowbasin, Dollar Mountain; Upgrade to Challenger Platinum Pass for Ikon Base Pass"
Sun Valley: Dollar ,U.S. - Idaho,628,"6,010","6,638",,N/A,Yes,,Holding Family,1977,,,,,"Ikon, Mountain Collective, Left Epic","Ikon 7S, MC 2S",Yes,No,Yes,No,Yes,Yes,,$919,$919,NO,4/30,YES,$879,$879,No,N/A,N/A,$959,Yes,Yes,
Tamarack,U.S. - Idaho,"2,800",,,"1,100",300,,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,No,Yes,No,Yes,Yes,,$499,$499,$449,3/9,NO,$399,$799,N/A,N/A,$599,$799,Yes,No,
ID,,,,,"17,706",,,,,,,,,,,,21,0,13,8,21,21,,,,,,,,,,,,,,6,
ILLINOIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine Hills Adventure Park,U.S. - Illinois,N/A,,,,N/A,Yes,,Independent,,,,,,,,Yes,No,No,Yes,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$75,$80,N/A,Yes,Track operations view Facebook page
Chestnut,U.S. - Illinois,475,,,220,34,Yes,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,No,Yes,No,Yes,Yes,,,,,,,$489*,$489*,N/A,N/A,$399,$525,N/A,Yes,*Year-round pass available in spring; includes summer activities; cheaper winter-only pass typically offered in fall
Fourlakes,U.S. - Illinois,100,,,9,24,Yes,,Independent,,,,,,,,Yes,No,No,Yes,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$300,$350,N/A,No,
Snowstar,U.S. - Illinois,262,,,28,39,Yes,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$275,$475,N/A,No,View reciprocal partners here
Villa Olivia,U.S. - Illinois,180,,,15,25,Yes,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,NO PASS,NO PASS,NO PASS,NO PASS,,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,No,"*No season passes; 3- or 6-ticket packs are $98 and $186, respectively"
IL,,,,,272,,,,,,,,,,,,5,0,3,2,5,5,,,,,,,,,,,,,,2,
INDIANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paoli Peaks,U.S. - Indiana,300,,,65,18,Yes,,Vail Resorts,2019,,,,,Epic,Epic/Local U | Day All/32/22,Yes,No,Yes,No,Yes,Yes,,$343,$343,NO,N/A,NO,$320,$334,No,N/A,$296,$328,No,No,
Perfect North,U.S. - Indiana,400,,,100,18,Yes,,Perfect Family,1980,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,$419,$454,No,7/1,$419,$699,No,No,"Unlimited access: Perfect North and Timberline, West Virginia"
IN,,,,,165,,,,,,,,,,,,2,0,2,0,2,2,,,,,,,,,,,,,,0,
IOWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crescent Hill at Hitchcock,U.S. - Iowa,300,,,50,30,Yes,,Independent,,,Mt. Crescent,,,,,Yes,No,Yes,No,Yes,Yes,,$249*,$249*,NO,3/31,NO,N/A,N/A,N/A,N/A,$224*,$299*,N/A,No,*Discounted for county residents
Seven Oaks,U.S. - Iowa,240,,,35,40,Yes,,Independent,,,,,,Freedom,Freedom 3,Yes,No,Yes,No,Yes,Yes,,,,,,,$298,$413,N/A,N/A,$298,$397,N/A,No,View reciprocal partners here.
Sundown,U.S. - Iowa,475,,,85,45,Yes,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2B",Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$395,$520,N/A,Yes,View reciprocal partners here.
IA,,,,,170,,,,,,,,,,,,3,0,3,0,3,3,,,,,,,,,,,,,,1,
MAINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baker,U.S. - Maine,460,,,,N/A,No,,Independent,,,,,,,,Yes,No,No,Yes,Yes,Yes,,,,,,,$140,$140,N/A,N/A,$140,$140,N/A,No,Track operations via Facebook page
Big Moose,U.S. - Maine,587,,,,136,Yes,,Independent,,,Big Squaw,,,"Indy, Uphill New England","Indy+ 2, Indy Base 2",Yes,No,Yes,No,Yes,Yes,,NO PASS,NO PASS,NO PASS,NO PASS,,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,No,Track operations via Facebook page
Bigrock,U.S. - Maine,920,,,90,94,Yes,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$495,$520,N/A,No,
Black Mountain of Maine,U.S. - Maine,"1,150",,,300,120,Yes,,Independent,,,,,,"Indy, Uphill New England","Indy+ 2, Indy Base 2",Yes,No,Yes,No,Yes,Yes,,$495*,$495*,NO,4/15,YES,$430*,$465*,No,7/31,$395*,$525*,N/A,Yes,*Rumford residents discounted
Camden Snow Bowl,U.S. - Maine,850,,,105,50,Yes,,Independent,,,,,,"Indy, Uphill New England","Indy+ 2, Indy Base 2",Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,N/A,N/A,OS-9/1,$445*,$550*,N/A,No,*Camden residents discounted
Caribou High School,U.S. - Maine,85,,,,N/A,,,Independent,,,,,,,,No,Yes,No,Yes,Yes,Yes,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,No,Private ski area for Caribou High School
Hermon Mountain,U.S. - Maine,256,,,60,90,Yes,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$520,$520,N/A,No,
Lonesome Pine,U.S. - Maine,440,,,,N/A,Yes,,Independent,,,,,,,,Yes,No,No,Yes,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$202.50,$225.00,N/A,No,
Lost Valley,U.S. - Maine,240,,,45,99,Yes,,Independent,,,,,,"Indy, Freedom","Indy+ 2, Indy Base 2, Freedom 3",Yes,No,Yes,No,Yes,Yes,,$595,$595,NO,3/31,NO,$550,$750,N/A,N/A,$495,$695,N/A,No,View reciprocal partners here.
Mount Abram,U.S. - Maine,"1,150",,,170,115,Yes,,Independent,,,,,,"Indy, Uphill New England","Indy+ 2, Indy Base 2",Yes,No,Yes,No,Yes,Yes,,,,,,,$499,$599,N/A,N/A,$499*,$599*,N/A,No,*Oxford County residents eligible for pass discounts
Mount Jefferson,U.S. - Maine,432,,,160,75,No,,Independent,,,,,,,,Yes,No,No,Yes,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$404,$530,N/A,No,Track operations via Facebook page
O'Connor (Kent School),U.S. - Maine,210,,,,N/A,,,Independent,,,,,,,,No,Yes,No,Yes,Yes,Yes,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,No,Private training center for Kent School
Pinnacle,U.S. - Maine,100,,,,N/A,Yes,,Independent,,,,,,,,Yes,No,No,Yes,No,Yes,,,,,,,N/A,N/A,N/A,N/A,$40*,$40*,N/A,No,Not enough snow to open for 23/24; re-opened for 24/25 on Feb. 8; *Pass comes with volunteer requirements; track operations via Facebook page
Pleasant Mountain,U.S. - Maine,"1,300",,,249,110,Yes,,Boyne Resorts,2021,,Shawnee Peak,,,New England Pass,NE Gold U,Yes,No,Yes,No,Yes,Yes,,$899,$899,NO,N/A,,$849,$899,N/A,N/A,$799,$949,Yes,Yes,"3 days total between Sugarloaf, Sunday River, Loon; 3 days each at Boyne Mountain, The Highlands, Brighton, Big Sky, Summit at Snoqualmie, Cypress"
Powderhouse Hill,U.S. - Maine,175,,,,N/A,No,,Independent,,,,,,,,Yes,No,No,Yes,Yes,Yes,,NO PASS,NO PASS,NO PASS,NO PASS,,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,No,Track operations via Facebook page.
Quarry Road,U.S. - Maine,75,,,,N/A,Yes,,Independent,,,,,,,,Yes,No,No,Yes,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$50,$50,N/A,No,Track operations via Facebook page.
Quoggy Joe,U.S. - Maine,215,,,,N/A,No,,Independent,,,,,,,,Yes,No,No,Yes,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$150,$150,N/A,No,Track operations via Facebook page.
Saddleback,U.S. - Maine,"2,000",,,600,225,Yes,,Independent,,,,,,"Indy, Uphill New England","Indy+ 2, Indy Base 2",Yes,No,Yes,No,Yes,Yes,,"$1,099*","$1,099*",NO,OS-3/12,YES,$999*,$999*,N/A,N/A,$799,$949,Yes,Yes,*Franklin County residents discount available
Spruce Mountain,U.S. - Maine,300,,,,N/A,Yes,,Independent,,,,,,,,Yes,No,No,Yes,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$225,$325,N/A,No,
Sugarloaf,U.S. - Maine,"2,820",,,"1,360",200,Yes,,Boyne Resorts,2007,,,,,"Ikon, Mountain Collective, New England Pass","Ikon 7 | Base 5B | Session B, MC 2, NE Gold U | Silver/Bronze UB",Yes,No,Yes,No,Yes,Yes,,"$1,449","$1,449","$1,389",3/26,NO,"$1,389","$1,599","ENDED $1389 (started $1,329)",N/A,"$1,359","$1,619",Yes,Yes,"Unlimited access: Sugarloaf, Sunday River, Loon. 3 days each at Big Sky, Brighton, Snoqualmie, Cypress, Boyne Mountain, The Highlands, Pleasant Mountain; Ikon Base Pass add-on available"
Sunday River,U.S. - Maine,"2,350",,,"1,184",167,Yes,,Boyne Resorts,2007,,,,,"Ikon, Mountain Collective, New England Pass","Ikon 7 | Base 5B | Session B, MC 2, NE Gold U | Silver/Bronze UB",Yes,No,Yes,No,Yes,Yes,,"$1,449","$1,449","$1,389",3/26,NO,"$1,389","$1,599","ENDED $1389 (started $1,329)",N/A,"$1,359","$1,619",Yes,Yes,"Unlimited access: Sugarloaf, Sunday River, Loon. 3 days each at Big Sky, Brighton, Snoqualmie, Cypress, Boyne Mountain, The Highlands, Pleasant Mountain; Ikon Base Pass add-on available"
Titcomb,U.S. - Maine,350,,,45,85,Yes,,Independent,,,,,,,,Yes,No,No,Yes,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$205,$265,N/A,No,
ME,,,,,4368,,,,,,,,,,,,20,2,11,11,21,22,,,,,,,,,,,,,,5,
MARYLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisp,U.S. - Maryland,700,,,132,100,Yes,,Pacific Group Resorts,2012,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,No,Yes,No,Yes,Yes,,$429,$429,NO,3/24,NO,$429,$529,N/A,9/2,$399,$699,Yes,Yes,"Unlimited Wisp, Powderhorn, Ragged, Wintergreen; 5 days each at Jay Peak and Mt. Washington Alpine Resort (BC)"
MD,,,,,132,,,,,,,,,,,,1,0,1,0,1,1,,,,,,,,,,,,,,1,
MASSACHUSETTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkshire East,U.S. - Massachusetts,"1,180",,,180,120,Yes,,Schaefer Family,1976,,Thunder Mountain,,,"Indy, Uphill New England","Indy+ 2, Indy Base 2",Yes,No,Yes,No,Yes,Yes,,$579,$579,NO,3/31,YES,$599,$679,No,N/A,$549,$769,No,Yes,"Unlimited access: Berkshire East, Catamount, Bousquet"
Blue Hills,U.S. - Massachusetts,309,,,60,N/A,Yes,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$429,$519,N/A,Yes,
Bousquet,U.S. - Massachusetts,750,,,200,83,Yes,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,No,Yes,No,Yes,Yes,,,,,,,$529,$579,N/A,N/A,$469,$599,Yes,Yes,"Uprade to Summit Pass for unlimited access to Bousquet, Berkshire East, Catamount"
Butternut,U.S. - Massachusetts,"1,000",,,110,110,Yes,,Murdock Family,1963,,,,,Freedom,Freedom 3,Yes,No,Yes,No,Yes,Yes,,$399,$399,NO,N/A,YES,$499,$499,N/A,8/31,$499,$599,Yes,Yes,
Catamount,U.S. - Massachusetts,"1,000",,,133,108,Yes,,Schaefer Family,2018,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,No,Yes,No,Yes,Yes,,$579,$579,NO,3/31,YES,$599,$679,No,N/A,$549,$769,No,Yes,"Unlimited access: Berkshire East, Catamount, Bousquet"
Easton (Eaglebrook School),U.S. - Massachusetts,440,,,,N/A,Yes,,Independent,,,,,,,,No,Yes,Yes,No,Yes,Yes,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,No,Private ski area for Eaglebrook School
Jiminy Peak,U.S. - Massachusetts,"1,150",,,167.4,100,Yes,,Fairbank Group,1985,,,,,"Ikon, Uphill New England",Ikon 2B,Yes,No,Yes,No,Yes,Yes,,"$1,051","$1,051",No,4/15,,"$1,020","$1,254",N/A,7/15,$990,"$1,329",N/A,Yes,1 day each at Cranmore and Bromley
Mt. Greylock Ski Club,U.S. - Massachusetts,350,,,,N/A,No,,Independent,,,,,,,,No,Yes,No,Yes,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$75*,$75*,N/A,No,"*This is a ""membership fee""; required to ski; track conditions via Facebook page"
Nashoba Valley,U.S. - Massachusetts,240,,,59,50,Yes,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$650,$700,N/A,Yes,
Otis Ridge,U.S. - Massachusetts,400,,,70,70,Yes,,Murdock Family,2016,,,,,,,Yes,No,Yes,No,Yes,Yes,,$229,$229,NO,N/A,NO,$229,$269,N/A,5/31,$209,$319,Yes,Yes,
Ski Bradford,U.S. - Massachusetts,220,,,48,N/A,Yes,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$560,$700,N/A,Yes,
Ski Ward,U.S. - Massachusetts,220,,,45,80,Yes,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$550,$665,N/A,Yes,
Wachusett,U.S. - Massachusetts,"1,000",,,110,100,Yes,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,$769,$769,N/A,6/24,$749,$899,N/A,Yes,
MA,,,,,1182.4,,,,,,,,,,,,11,2,12,1,13,13,,,,,,,,,,,,,,11,
MICHIGAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adventure Mountain (UP),U.S. - Michigan,134,,,,N/A,,,Independent,,,,,,,,Yes,No,No,Yes,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$40,$40,N/A,No,Track operations on Facebook page 
Alpine Valley,U.S. - Michigan,300,,,100,20,Yes,,Wisconsin Resorts,2021,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,$699,$699,N/A,9/30,$701,$825,N/A,Yes,"Unlimited access: Alpine Valley (WI), Alpine Valley (MI), Pine Knob, Mt. Holly, Bittersweet, Searchmont (Ontario)"
Big Powderhorn (UP),U.S. - Michigan,622,,,253,214,Yes,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$499,$549,N/A,Yes,View reciprocal partners here.
Big Valley (UP),U.S. - Michigan,75,,,5,N/A,No,,Independent,,,,,,,,Yes,No,No,Yes,Yes,Yes,,NO PASS,NO PASS,NO PASS,NO PASS,,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,No,Does not offer season pass - $5 daily; track operations via Facebook page
Bittersweet,U.S. - Michigan,350,,,100,90,Yes,,Wisconsin Resorts,N/A,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,$599,$599,N/A,9/30,$701,$825,N/A,Summer,"Unlimited access: Alpine Valley (WI), Alpine Valley (MI), Pine Knob, Mt. Holly, Bittersweet, Searchmont (Ontario)"
Boyne Mountain,U.S. - Michigan,500,,,435,140,Yes,,Boyne Resorts,1948,,,,,"Ikon, New England Pass","Ikon 7 | Base 5B | Session B, NE Gold 3",Yes,No,Yes,No,Yes,Yes,,$899,$899,$849,3/18,YES,$930,$979,No,N/A,$895,"$1,099",No,Yes,"Unlimited Boyne Mountain and Highlands; 3 days each at Big Sky, Sugarloaf, Sunday River, Loon, Pleasant Mountain, Summit at Snoqualmie, Brighton, and Cypress; Ikon Base add-on $299"
Caberfae Peaks,U.S. - Michigan,485,,,200,140,Yes,,Independent,,,,,,"Indy, Freedom","Indy+ 2, Indy Base 2B, Freedom 3",Yes,No,Yes,No,Yes,Yes,,$289,$289,NO,N/A,YES,$279,$299,No,9/30,$249,$399,Yes,Yes,View reciprocal partners here.
Cannonsburg,U.S. - Michigan,250,,,100,100,Yes,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,$229,$259,N/A,N/A,$199,$359,N/A,Yes,
Challenge Mountain,U.S. - Michigan,370,,,,N/A,,,Independent,,,Walloon Hills,,,,,No,Yes,No,Yes,Yes,Yes,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,No,Private ski area for skiers with disabilities
Covington (UP),U.S. - Michigan,115,,,,N/A,,,Independent,,,,,,,,Yes,No,No,Yes,No,Yes,,NO PASS,NO PASS,NO PASS,NO PASS,,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,No,"Not enough snow to open for 23/24; re-opened Jan. 25, 2025 for 24/25; Track operations via Facebook page"
Crystal Mountain MI,U.S. - Michigan,375,,,103,132,Yes,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2B",Yes,No,Yes,No,Yes,Yes,,$459,$459,NO,4/11,NO,$419,$529,No,N/A,$419,$659,N/A,Yes,View reciprocal partners here.
Crystella (UP),U.S. - Michigan,69,,,,N/A,,,Independent,,,,,,,,Yes,No,No,Yes,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$35,$45,N/A,No,Track operations via Facebook page 
Gladstone (UP) (J&M Bess),U.S. - Michigan,131,,,25,50,,,Independent,,,,,,,,Yes,No,No,Yes,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,Track operations via Facebook page
Hanson Hills,U.S. - Michigan,225,,,125,60,Yes,,Independent,,,,,,,,Yes,No,No,Yes,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$240*,$240*,N/A,Yes,*Crawford County residents passes discounted
Hiawatha (Chatham) (UP),U.S. - Michigan,86,,,,N/A,No,,Independent,,,,,,,,Yes,No,No,Yes,Yes,Yes,,$100,$100,NO,N/A,NO,$100,$100,N/A,N/A,$100,$100,N/A,No,Track operations via Facebook page 
